ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.901249585314608,0.9055740146044154,0.6444833625218914,0.34782608695652173,0.4518109269490485,0.42605817794513523
Decision Tree,0.8745991374543846,0.7014571863832587,0.46487985212569316,0.47542533081285443,0.4700934579439252,0.39902087033749317
kNN,0.8961627778392126,0.8277209275898927,0.5990016638935108,0.34026465028355385,0.43399638336347196,0.40012752249162636
Naive Bayes,0.8548048214088245,0.8100945416322902,0.4059040590405904,0.5198487712665406,0.45586406962287607,0.37735837569864067
Random Forest,0.9044564856795311,0.926285639543899,0.6506211180124224,0.3960302457466919,0.49236192714453586,0.45972400148255543
